2841,3.324,71.7,238.4,0.061,0.201
2850,3.312,86.6,287.2,0.061,0.202
2859,3.316,152.7,506.8,0.062,0.203
2866,3.312,96.5,320,0.062,0.204
2875,3.324,72.4,240.4,0.062,0.204
2884,3.316,72.3,240,0.062,0.205
2891,3.32,72.4,240.4,0.062,0.205
2900,3.316,71.3,236.4,0.062,0.206
2909,3.316,72.3,240,0.063,0.207
2917,3.316,72.3,240,0.063,0.207
2925,3.32,72.6,241.2,0.063,0.208
2934,3.316,72.3,240,0.063,0.208
2942,3.316,72.3,240,0.063,0.209
2950,3.324,72.4,240.4,0.063,0.209
2959,3.448,23.1,80,0.064,0.21
2966,3.456,0,0,0.064,0.21
2975,3.448,0,0,0.064,0.21
2984,3.448,0,0,0.064,0.21
2993,3.448,0,0,0.064,0.21
3000,3.452,0,0,0.064,0.21
3009,3.448,0,0,0.064,0.21
3017,3.448,0,0,0.064,0.21
3026,3.448,0,0,0.064,0.21
3034,3.448,0,0,0.064,0.21
3043,3.448,0,0,0.064,0.21
3051,3.444,0,0,0.064,0.21
3059,3.448,0,0,0.064,0.21
3067,3.448,0,0,0.064,0.21
3076,3.448,0,0,0.064,0.21
3085,3.452,0,0,0.064,0.21
3092,3.452,0,0,0.064,0.21
3101,3.452,0,0,0.064,0.21
3110,3.452,0,0,0.064,0.21
3118,3.448,0,0,0.064,0.21
3126,3.452,0,0,0.064,0.21
3135,3.452,0,0,0.064,0.21
3143,3.452,0,0,0.064,0.21
3151,3.448,0,0,0.064,0.21
3160,3.448,0,0,0.064,0.21
3169,3.444,0,0,0.064,0.21
3176,3.452,0,0,0.064,0.21
3185,3.448,0,0,0.064,0.21
3194,3.448,0,0,0.064,0.21
3202,3.448,0,0,0.064,0.21
3210,3.448,0,0,0.064,0.21
3218,3.452,0,0,0.064,0.21
3227,3.452,0,0,0.064,0.21
3235,3.452,0,0,0.064,0.21
3244,3.448,0,0,0.064,0.21
3252,3.452,0,0,0.064,0.21
3260,3.448,0,0,0.064,0.21
3268,3.448,0,0,0.064,0.21
3277,3.452,0,0,0.064,0.21
3286,3.452,0,0,0.064,0.21
3293,3.448,0,0,0.064,0.21
3302,3.452,0,0,0.064,0.21
3311,3.452,0,0,0.064,0.21
3319,3.444,0,0,0.064,0.21
3327,3.452,0,0,0.064,0.21
3336,3.452,0,0,0.064,0.21
3344,3.444,0,0,0.064,0.21
3352,3.452,0,0,0.064,0.21
3361,3.452,0,0,0.064,0.21
3370,3.452,0,0,0.064,0.21
3377,3.448,0,0,0.064,0.21
3386,3.448,0,0,0.064,0.21
3395,3.448,0,0,0.064,0.21
3403,3.444,0,0,0.064,0.21
3411,3.452,0,0,0.064,0.21
3419,3.448,0,0,0.064,0.21
3428,3.452,0,0,0.064,0.21
3437,3.448,0,0,0.064,0.21
3445,3.452,0,0,0.064,0.21
3453,3.452,0,0,0.064,0.21
3462,3.448,0,0,0.064,0.21
3469,3.452,0,0,0.064,0.21
3478,3.452,0,0,0.064,0.21
3487,3.448,0,0,0.064,0.21
3496,3.456,0,0,0.064,0.21
3503,3.452,0,0,0.064,0.21
3512,3.448,0,0,0.064,0.21
3520,3.452,0,0,0.064,0.21
3528,3.448,0,0,0.064,0.21
3537,3.448,0,0,0.064,0.21
3545,3.452,0,0,0.064,0.21
3553,3.452,0,0,0.064,0.21
3562,3.448,0,0,0.064,0.21
3571,3.448,0,0,0.064,0.21
3578,3.448,0,0,0.064,0.21
3587,3.452,0,0,0.064,0.21
3596,3.448,0,0,0.064,0.21
3604,3.448,0,0,0.064,0.21
3612,3.452,0,0,0.064,0.21
3620,3.452,0,0,0.064,0.21
3629,3.448,0,0,0.064,0.21
3638,3.448,0,0,0.064,0.21
3646,3.452,0,0,0.064,0.21
3654,3.452,0,0,0.064,0.21
3663,3.452,0,0,0.064,0.21
3671,3.452,0,0,0.064,0.21
3679,3.456,0,0,0.064,0.21
3688,3.448,0,0,0.064,0.21
3695,3.448,0,0,0.064,0.21
3705,3.448,0,0,0.064,0.21
3713,3.448,0,0,0.064,0.21
3721,3.448,0,0,0.064,0.21
3729,3.448,0,0,0.064,0.21
3739,3.448,0,0,0.064,0.21
3746,3.452,0,0,0.064,0.21
3755,3.448,0,0,0.064,0.21
3764,3.452,0,0,0.064,0.21
3771,3.448,0,0,0.064,0.21
3780,3.452,0,0,0.064,0.21
3788,3.448,0,0,0.064,0.21
3797,3.444,0,0,0.064,0.21
3805,3.448,0,0,0.064,0.21
3813,3.452,0,0,0.064,0.21
3822,3.452,0,0,0.064,0.21
3830,3.452,0,0,0.064,0.21
3838,3.448,0,0,0.064,0.21
3847,3.452,0,0,0.064,0.21
3855,3.452,0,0,0.064,0.21
3864,3.448,0,0,0.064,0.21
3872,3.448,0,0,0.064,0.21
3880,3.448,0,0,0.064,0.21
3889,3.444,0,0,0.064,0.21
3897,3.452,0,0,0.064,0.21
3906,3.448,0,0,0.064,0.21
3915,3.448,0,0,0.064,0.21
3922,3.448,0,0,0.064,0.21
3931,3.448,0,0,0.064,0.21
3939,3.448,0,0,0.064,0.21
3947,3.444,0,0,0.064,0.21
3956,3.448,0,0,0.064,0.21
3965,3.448,0,0,0.064,0.21
3972,3.448,0,0,0.064,0.21
3981,3.452,0,0,0.064,0.21
3990,3.448,0,0,0.064,0.21
3998,3.448,0,0,0.064,0.21
4006,3.448,0,0,0.064,0.21
4015,3.452,0,0,0.064,0.21
4023,3.448,0,0,0.064,0.21
4031,3.448,0,0,0.064,0.21
4040,3.448,0,0,0.064,0.21
4048,3.448,0,0,0.064,0.21
4056,3.448,0,0,0.064,0.21
4065,3.448,0,0,0.064,0.21
4074,3.452,0,0,0.064,0.21
4081,3.452,0,0,0.064,0.21
4090,3.448,0,0,0.064,0.21
4098,3.452,0,0,0.064,0.21
4107,3.444,0,0,0.064,0.21
4115,3.448,0,0,0.064,0.21
4123,3.452,0,0,0.064,0.21
4132,3.448,0,0,0.064,0.21
4141,3.448,0,0,0.064,0.21
4148,3.448,0,0,0.064,0.21
4157,3.452,0,0,0.064,0.21
4166,3.448,0,0,0.064,0.21
4173,3.448,0,0,0.064,0.21
4182,3.448,0,0,0.064,0.21
4191,3.448,0,0,0.064,0.21
4199,3.448,0,0,0.064,0.21
4207,3.452,0,0,0.064,0.21
4216,3.448,0,0,0.064,0.21
4225,3.448,0,0,0.064,0.21
4232,3.452,0,0,0.064,0.21
4241,3.452,0,0,0.064,0.21
4250,3.452,0,0,0.064,0.21
4258,3.448,0,0,0.064,0.21
4266,3.452,0,0,0.064,0.21
4274,3.448,0,0,0.064,0.21
4283,3.448,0,0,0.064,0.21
4291,3.448,0,0,0.064,0.21
4300,3.452,0,0,0.064,0.21
4307,3.448,0,0,0.064,0.21
4316,3.448,0,0,0.064,0.21
4325,3.452,0,0,0.064,0.21
4334,3.452,0,0,0.064,0.21
4341,3.448,0,0,0.064,0.21
4350,3.452,0,0,0.064,0.21
4358,3.448,0,0,0.064,0.21
4367,3.452,0,0,0.064,0.21
4374,3.448,0,0,0.064,0.21
4383,3.448,0,0,0.064,0.21
4392,3.448,0,0,0.064,0.21
4401,3.448,0,0,0.064,0.21
4408,3.452,0,0,0.064,0.21
4417,3.452,0,0,0.064,0.21
4426,3.452,0,0,0.064,0.21
4433,3.452,0,0,0.064,0.21
4442,3.444,0,0,0.064,0.21
4451,3.448,0,0,0.064,0.21
4459,3.456,0,0,0.064,0.21
4468,3.448,0,0,0.064,0.21
4475,3.444,0,0,0.064,0.21
4484,3.448,0,0,0.064,0.21
4492,3.448,0,0,0.064,0.21
4501,3.452,0,0,0.064,0.21
4509,3.448,0,0,0.064,0.21
4517,3.448,0,0,0.064,0.21
4526,3.452,0,0,0.064,0.21
4534,3.448,0,0,0.064,0.21
4542,3.448,0,0,0.064,0.21
4551,3.448,0,0,0.064,0.21
4560,3.448,0,0,0.064,0.21
4567,3.448,0,0,0.064,0.21
4576,3.452,0,0,0.064,0.21
4585,3.452,0,0,0.064,0.21
4592,3.452,0,0,0.064,0.21
4601,3.448,0,0,0.064,0.21
4610,3.448,0,0,0.064,0.21
4618,3.448,0,0,0.064,0.21
4626,3.452,0,0,0.064,0.21
4634,3.448,0,0,0.064,0.21
4643,3.444,0,0,0.064,0.21
4652,3.452,0,0,0.064,0.21
4660,3.452,0,0,0.064,0.21
4669,3.448,0,0,0.064,0.21
4676,3.448,0,0,0.064,0.21
4685,3.448,0,0,0.064,0.21
4693,3.452,0,0,0.064,0.21
4702,3.452,0,0,0.064,0.21
4710,3.444,0,0,0.064,0.21
4718,3.448,0,0,0.064,0.21
4727,3.448,0,0,0.064,0.21
4735,3.448,0,0,0.064,0.21
4743,3.452,0,0,0.064,0.21
4752,3.448,0,0,0.064,0.21
4761,3.448,0,0,0.064,0.21
4769,3.448,0,0,0.064,0.21
4777,3.448,0,0,0.064,0.21
4786,3.452,0,0,0.064,0.21
4794,3.448,0,0,0.064,0.21
4802,3.448,0,0,0.064,0.21
4811,3.448,0,0,0.064,0.21
4819,3.452,0,0,0.064,0.21
4827,3.448,0,0,0.064,0.21
4836,3.452,0,0,0.064,0.21
4845,3.452,0,0,0.064,0.21
4852,3.444,0,0,0.064,0.21
4861,3.448,0,0,0.064,0.21
4869,3.448,0,0,0.064,0.21
4877,3.448,0,0,0.064,0.21
